חולין,כתובות,
,Ketubot, ** Gap ** 
מסכת,מסכת:כתובות, ** Major ** 
חדשה,, ** Gap ** 
Chullin,, ** Gap ** 
מסכת:חולין,, ** Gap ** 
merged,merged,
https://www.sefaria.org/Chullin,https://www.sefaria.org/Ketubot, ** Major ** 
This,This,
file,file,
contains,contains,
merged,merged,
sections,sections,
from,from,
the,the,
following,following,
text,text,
versions:,versions:,
-Wikisource,-Wikisource,
Talmud,Talmud,
Bavli,Bavli,
-http://he.wikisource.org/wiki/%D7%AA%D7%9C%D7%9E%D7%95%D7%93_%D7%91%D7%91%D7%9C%D7%99,-http://he.wikisource.org/wiki/%D7%AA%D7%9C%D7%9E%D7%95%D7%93_%D7%91%D7%91%D7%9C%D7%99,
חולין,כתובות, ** Major ** 
Daf,Daf,
1a,1a,
Daf,Daf,
1b,1b,
Daf,Daf,
2a,2a,
מתני'‏,מתני'‏,
,<big><strong>בתולה</strong></big>, ** Gap ** 
,נשאת, ** Gap ** 
,ליום, ** Gap ** 
,הרביעי, ** Gap ** 
,ואלמנה, ** Gap ** 
,ליום, ** Gap ** 
,החמישי, ** Gap ** 
,שפעמים, ** Gap ** 
,בשבת, ** Gap ** 
,בתי, ** Gap ** 
,דינין, ** Gap ** 
,יושבין, ** Gap ** 
,בעיירות, ** Gap ** 
,ביום, ** Gap ** 
,השני, ** Gap ** 
,וביום, ** Gap ** 
,החמישי, ** Gap ** 
,שאם, ** Gap ** 
,היה, ** Gap ** 
,לו, ** Gap ** 
,טענת, ** Gap ** 
,בתולים, ** Gap ** 
,היה, ** Gap ** 
,משכים, ** Gap ** 
,לבית, ** Gap ** 
,דין:, ** Gap ** 
,<big><strong>גמ'</strong></big>, ** Gap ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
,יוסף, ** Gap ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
,יהודה, ** Gap ** 
,אמר, ** Gap ** 
,שמואל, ** Gap ** 
,מפני, ** Gap ** 
,מה, ** Gap ** 
,אמרו, ** Gap ** 
,בתולה, ** Gap ** 
,נשאת, ** Gap ** 
,ליום, ** Gap ** 
,הרביעי, ** Gap ** 
,לפי, ** Gap ** 
,ששנינו, ** Gap ** 
,הגיע, ** Gap ** 
,זמן, ** Gap ** 
,ולא, ** Gap ** 
,נישאו, ** Gap ** 
,אוכלות, ** Gap ** 
,משלו, ** Gap ** 
,ואוכלות, ** Gap ** 
,בתרומה, ** Gap ** 
,יכול, ** Gap ** 
,הגיע, ** Gap ** 
,זמן, ** Gap ** 
,באחד, ** Gap ** 
,בשבת, ** Gap ** 
,יהא, ** Gap ** 
,מעלה, ** Gap ** 
,לה, ** Gap ** 
,מזונות, ** Gap ** 
,לכך, ** Gap ** 
,שנינו, ** Gap ** 
,בתולה, ** Gap ** 
,נשאת, ** Gap ** 
<big><strong>הכל</strong></big>,ליום, ** Major ** 
שוחטין,הרביעי, ** Major ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
ושחיטתן,יוסף, ** Major ** 
כשרה,מריה, **Minor 
,דאברהם, ** Gap ** 
,תלי, ** Gap ** 
,תניא, ** Gap ** 
,בדלא, ** Gap ** 
,תניא, ** Gap ** 
,הי, ** Gap ** 
,תניא, ** Gap ** 
,והי, ** Gap ** 
,לא, ** Gap ** 
,תניא, ** Gap ** 
,הא, ** Gap ** 
,תניא, ** Gap ** 
,והא, ** Gap ** 
,תניא, ** Gap ** 
,אלא, ** Gap ** 
,תלי, ** Gap ** 
,תניא, ** Gap ** 
,דמפרש, ** Gap ** 
,טעמא, ** Gap ** 
,בדתניא, ** Gap ** 
,דלא, ** Gap ** 
,מפרש, ** Gap ** 
,טעמא, ** Gap ** 
,אלא, ** Gap ** 
,אי, ** Gap ** 
,איתמר, ** Gap ** 
,הכי, ** Gap ** 
,איתמר, ** Gap ** 
,אמר, ** Gap ** 
,רב, ** Gap ** 
,יהודה, ** Gap ** 
,אמר, ** Gap ** 
,שמואל, ** Gap ** 
,מפני, ** Gap ** 
,מה, ** Gap ** 
,אמרו, ** Gap ** 
,בתולה, ** Gap ** 
,נשאת, ** Gap ** 
,ליום, ** Gap ** 
,הרביעי, ** Gap ** 
,שאם, ** Gap ** 
,היה, ** Gap ** 
,לו, ** Gap ** 
,טענת, ** Gap ** 
,בתולים, ** Gap ** 
,היה, ** Gap ** 
,משכים, ** Gap ** 
,"לב""ד", ** Gap ** 
,ותינשא, ** Gap ** 
,באחד, ** Gap ** 
,בשבת, ** Gap ** 
,שאם, ** Gap ** 
,היה, ** Gap ** 
,לו, ** Gap ** 
,טענת, ** Gap ** 
,בתולים, ** Gap ** 
,היה, ** Gap ** 
,משכים, ** Gap ** 
,לבית, ** Gap ** 
,דין, ** Gap ** 
,שקדו, ** Gap ** 
,חכמים, ** Gap ** 
,על, ** Gap ** 
,תקנת, ** Gap ** 
,בנות, ** Gap ** 
,ישראל, ** Gap ** 
,שיהא, ** Gap ** 
,טורח, ** Gap ** 
,בסעודה, ** Gap ** 
,שלשה, ** Gap ** 
,ימים, ** Gap ** 
,אחד, ** Gap ** 
,בשבת, ** Gap ** 
,ושני, ** Gap ** 
